Proposed rank,Proposed lon,Proposed lat,hf_id,Facility name,Type,Ownership,Authority,Status,Facility lon,Facility lat
1,32.8818822,2.416650444,HF2228,Ogur HC IV,HC IV,Government,MOH,Functional,32.93588,2.44195
2,32.59102693,2.333001576,HF2392,Agulurude HC III,HC III,Government,MOH,Functional,32.6103,2.2945
5,33.08967015,2.625637573,HF2371,Okwang HC III,HC III,Government,MOH,Functional,33.14869,2.6032
6,32.84029132,2.709224111,HF2408,Awere HC III,HC III,Government,MOH,Functional,32.79421,2.68842
7,32.17560062,2.207439933,HF3024,Diima HC III,HC III,Government,MOH,Functional,32.22003,2.16412
8,33.87839268,0.243152896,HF1547,Buyinja  HC IV,HC IV,Government,MOH,Functional,33.87629,0.3358
9,32.42473544,2.541917988,HF2054,Opit HC III,HC III,Government,UCMB,Functional,32.47537,2.61763
11,33.33905937,2.709187006,HF1856,Patongo HC III,HC IV,Government,MOH,Functional,33.303782,2.778143
13,32.88190275,2.165867896,HF2230,Ober HC III,HC III,Government,MOH,Functional,32.87364,2.25697
16,33.13120654,2.374852227,HF1872,Apala HC III,HC III,Government,MOH,Functional,33.04103,2.40401
17,33.71327401,2.959785146,HF1773,Alerek HC III,HC III,Government,MOH,Functional,33.73088,2.95626
18,33.46365785,2.458371761,HF2373,Olilim HC III,HC III,Government,MOH,Functional,33.50511,2.4486
19,32.38298721,2.918048839,HF2027,Awach HC IV,HC IV,Government,MOH,Functional,32.40077,2.97058
20,32.21685288,2.708980293,HF2079,Ongako HC III,HC III,Government,MOH,Functional,32.22965,2.67768
24,31.17860946,2.290099996,HF2344,Parombo HC III,HC III,Government,MOH,Functional,31.19591,2.30068
25,33.50510893,2.165787874,HF0981,Morungatuny HC III,HC III,Government,MOH,Functional,33.47681,2.17372
27,33.2976418,3.252547885,HF2141,Omiya Anyima HC III,HC III,Government,MOH,Functional,33.20667,3.27004
28,33.54637065,1.120883844,HF1291,Namwiwa HC III,HC III,Government,MOH,Functional,33.55064,1.08656
31,33.58810906,1.914987119,HF1702,Tubur HC III,HC III,Government,MOH,Functional,33.51942,1.95525
34,33.58801695,1.622420473,HF1681,Asuret HC III,HC III,Government,MOH,Functional,33.598918,1.628748
35,33.83735647,1.956675758,HF0960,Abarilela HC III,HC III,Government,MOH,Functional,33.81817,1.962
41,33.25582258,2.124053964,HF1862,Alanyi HC III,HC III,Private Not For Profit,UCMB,Functional,33.26303,2.13244
43,32.71538715,3.503326933,HF2192,Padibe West HC III,HC III,Government,MOH,Functional,32.81643,3.4872
46,33.50480834,0.870114796,HF1290,Namugongo HC III,HC III,Government,MOH,Functional,33.48277,0.89568
47,32.88196734,1.037337518,HF0290,Bbaale HC IV,HC IV,Government,MOH,Functional,32.88569,1.1056
48,32.34194764,1.789577612,HF1930,Akokoro HC III,HC III,Government,MOH,Functional,32.39149,1.69949
49,33.9626857,2.959595772,HF2165,Lokitelaebu HC III,HC III,Government,MOH,Functional,34.00117,2.98911
50,32.84038007,1.915081131,HF1921,Abedober HC III,HC III,Private Not For Profit,UCMB,Functional,32.8508,1.94593
