rank,prop_lon,prop_lat,catchment_id,catchment_name
1,32.8818822,2.416650444,HF2228,HF2228
2,32.59102693,2.333001576,HF2392,HF2392
5,33.08967015,2.625637573,HF2371,HF2371
6,32.84029132,2.709224111,HF2408,HF2408
7,32.17560062,2.207439933,HF3024,HF3024
8,33.87839268,0.243152896,HF1547,HF1547
9,32.42473544,2.541917988,HF2054,HF2054
11,33.33905937,2.709187006,HF1856,HF1856
13,32.88190275,2.165867896,HF2230,HF2230
16,33.13120654,2.374852227,HF1872,HF1872
17,33.71327401,2.959785146,HF1773,HF1773
18,33.46365785,2.458371761,HF2373,HF2373
19,32.38298721,2.918048839,HF2027,HF2027
20,32.21685288,2.708980293,HF2079,HF2079
24,31.17860946,2.290099996,HF2344,HF2344
25,33.50510893,2.165787874,HF0981,HF0981
27,33.2976418,3.252547885,HF2141,HF2141
28,33.54637065,1.120883844,HF1291,HF1291
31,33.58810906,1.914987119,HF1702,HF1702
34,33.58801695,1.622420473,HF1681,HF1681
35,33.83735647,1.956675758,HF0960,HF0960
41,33.25582258,2.124053964,HF1862,HF1862
43,32.71538715,3.503326933,HF2192,HF2192
46,33.50480834,0.870114796,HF1290,HF1290
47,32.88196734,1.037337518,HF0290,HF0290
48,32.34194764,1.789577612,HF1930,HF1930
49,33.9626857,2.959595772,HF2165,HF2165
50,32.84038007,1.915081131,HF1921,HF1921
