name,type,ownership,authority,status,longitude,latitude,F15Regions,DName2016,CName2016,SName2016,scode,costituenc,d,c,s,p,pc2016,mpopn,fpopn,SexRatio,tpopn,hf_id
Buikwe HC III,HC III,Government,MOH,Functional,33.02732,0.34348,CENTRAL II,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,117102,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,BUIKWE C,11710203,1605,1918.0,83.7,3523.0,HF0001
Buikwe St. Charles Lwanga HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,33.03181,0.33944,CENTRAL II,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,117102,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,BUIKWE C,11710203,1605,1918.0,83.7,3523.0,HF0002
Busabaga HC III,HC III,Government,MOH,Functional,32.90639,0.29694,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,117202,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,BUSABAGA,11720203,1412,1455.0,97.0,2867.0,HF0004
ENG BD Military Lugazi HC III,HC III,Government,MOH,,32.91223,0.3714,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,117202,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,BUTININDI,11720204,5280,5012.0,105.3,10292.0,HF0005
Kawolo HOSPITAL,General Hospital,Government,MOH,Functional,32.94508,0.36783,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,117201,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,KIKAWULA,11720103,5018,5655.0,88.7,10673.0,HF0007
Lugazi Scoul HOSPITAL,General Hospital,Private For Profit,,Functional,32.93794,0.37751,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,117201,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,KAWOTTO,11720102,2002,1655.0,121.0,3657.0,HF0008
Najjembe HC III,HC III,Government,MOH,Functional,33.00995,0.39447,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,NAJJEMBE DIVISION,117203,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,NAJJEMBE DIVISION,NSAKYA,11720307,3994,4012.0,99.6,8006.0,HF0012
Ngogwe HC III,HC III,Government,,Functional,32.9824,0.23683,CENTRAL II,BUIKWE,BUIKWE,NGOGWE,117104,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,NGOGWE,LUBONGO,11710404,2451,2342.0,104.7,4793.0,HF0013
Njeru T.C HC III,HC III,Government,MOH,Functional,33.15179,0.38359,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,117302,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,NYENGA,11730204,3752,4070.0,92.2,7822.0,HF0017
St. Francis Health Care Services HC III,HC III,Private Not For Profit,UCMB,Functional,33.16327,0.43243,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,117301,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,NJERU NORTH WARD,11730102,2651,2857.0,92.8,5508.0,HF0018
Nkokonjeru  HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,32.92302,0.23599,CENTRAL II,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,117105,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,BUKASA,11710501,1965,2261.0,86.9,4226.0,HF0019
St. Francis Nyenga HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,33.14065,0.39505,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,117302,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,NYENGA,11730204,3752,4070.0,92.2,7822.0,HF0022
Buwagajjo HC III,HC III,Government,MOH,Functional,33.14688,0.389,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,117302,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,NYENGA,11730204,3752,4070.0,92.2,7822.0,HF0026
Ssi HC III,HC III,Government,MOH,Functional,32.97205,0.17105,CENTRAL II,BUIKWE,BUIKWE,SSI-BUKUNJA,117106,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,SSI BUKUNJA,LUGALA,11710604,1992,1967.0,101.3,3959.0,HF0027
Wakisi HC III,HC III,Government,MOH,Functional,33.11402,0.51026,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,117303,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,WAKISI DIVISION,WAKISI,11730306,3083,3369.0,91.5,6452.0,HF0031
Bigasa HC III,HC III,Government,MOH,Functional,31.62646,-0.08727,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BIGASA,118101,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BIGASA,MBIRIIZI,11810104,4389,4542.0,96.6,8931.0,HF0033
St. Mary'S Maternity Home HC III,HC III,Private Not For Profit,Local Government,Functional,31.61822,-0.16399,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI  TOWN COUNCIL,118102,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI TOWN COUNCIL,CENTRAL,11810201,1682,1872.0,89.9,3554.0,HF0034
Bukomansimbi Medical Center HC III,HC III,NGO,Local Government,,31.61816,-0.16628,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI  TOWN COUNCIL,118102,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI TOWN COUNCIL,CENTRAL,11810201,1682,1872.0,89.9,3554.0,HF0035
St. Mechtilda Kitaasa HC III,HC III,Private Not For Profit,UCMB,Functional,31.604,-0.15118,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI  TOWN COUNCIL,118102,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI TOWN COUNCIL,KISAGAZI,11810204,836,930.0,89.9,1766.0,HF0036
Butenga HC IV,HC IV,Government,MOH,Functional,31.67238,-0.19553,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,118103,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,BUTENGA,BUTENGA TOWN BOARD,11810301,1420,1679.0,84.6,3099.0,HF0039
Mirambi HC III,HC III,Government,MOH,Functional,31.63389,-0.29187,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,118104,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,MIRAMBI,11810405,2775,2744.0,101.1,5519.0,HF0042
Buyoga HC III,HC III,Private Not For Profit,UCMB,Functional,31.63779,-0.26398,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,118104,BUKOMANSIMBI SOUTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KIBINGE,KIRYASAAKA,11810402,3018,3130.0,96.4,6148.0,HF0043
Kitanda HC III,HC III,Government,MOH,Functional,31.56832,-0.09735,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KITANDA,118105,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KITANDA,MITIGYEERA,11810504,2971,2940.0,101.1,5911.0,HF0044
Makuukulu HC III,HC III,Private Not For Profit,UCMB,Functional,31.58625,-0.0437,CENTRAL I,BUKOMANSIMBI,BUKOMANSIMBI,KITANDA,118105,BUKOMANSIMBI NORTH COUNTY,BUKOMANSIMBI,BUKOMANSIMBI,KITANDA,MAKUKUULU,11810503,4417,4365.0,101.2,8782.0,HF0045
Kyabadaza HC III,HC III,Government,MOH,Functional,32.1819,0.12091,CENTRAL I,BUTAMBALA,BUTAMBALA,BUDDE,119101,BUTAMBALA COUNTY,BUTAMBALA,BUTAMBALA,BUDDE,BUDDE,11910101,2287,2321.0,98.5,4608.0,HF0047
