name,type,ownership,authority,status,longitude,latitude,F15Regions,DName2016,CName2016,SName2016,scode,costituenc,d,c,s,p,pc2016,mpopn,fpopn,SexRatio,tpopn,hf_id
Buikwe HC III,HC III,Government,MOH,Functional,33.02732,0.34348,CENTRAL II,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,117102,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,BUIKWE C,11710203,1605,1918.0,83.7,3523.0,HF0001
Buikwe St. Charles Lwanga HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,33.03181,0.33944,CENTRAL II,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,117102,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,BUIKWE TOWN COUNCIL,BUIKWE C,11710203,1605,1918.0,83.7,3523.0,HF0002
Kasaku HC II,HC II,NGO,,Functional,32.89112,0.3633,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,117202,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,BUTININDI,11720204,5280,5012.0,105.3,10292.0,HF0003
Busabaga HC III,HC III,Government,MOH,Functional,32.90639,0.29694,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,117202,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,BUSABAGA,11720203,1412,1455.0,97.0,2867.0,HF0004
ENG BD Military Lugazi HC III,HC III,Government,MOH,,32.91223,0.3714,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,117202,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,KAWOLO DIVISION,BUTININDI,11720204,5280,5012.0,105.3,10292.0,HF0005
Lugazi Police,Clinic,Government,MOH,Functional,32.94178,0.36975,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,117201,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,KIKAWULA,11720103,5018,5655.0,88.7,10673.0,HF0006
Kawolo HOSPITAL,General Hospital,Government,MOH,Functional,32.94508,0.36783,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,117201,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,KIKAWULA,11720103,5018,5655.0,88.7,10673.0,HF0007
Lugazi Scoul HOSPITAL,General Hospital,Private For Profit,,Functional,32.93794,0.37751,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,117201,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,KAWOTTO,11720102,2002,1655.0,121.0,3657.0,HF0008
Lugazi Muslim HC II,HC II,Private Not For Profit,UMMB,Functional,32.93499,0.36727,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,117201,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,NAKAZADDE,11720104,5752,6561.0,87.7,12313.0,HF0009
Lugazi Mission HC II,HC II,Private Not For Profit,,Functional,32.93703,0.36375,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,117201,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,KIKAWULA,11720103,5018,5655.0,88.7,10673.0,HF0010
Kingdom Life Health Centre CLINIC,HC II,Private For Profit,Local Government,Functional,33.14505,0.28044,CENTRAL II,BUIKWE,BUIKWE,NAJJA,117103,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,NAJJA,KIYINDI,11710304,7687,8418.0,91.3,16105.0,HF0011
Najjembe HC III,HC III,Government,MOH,Functional,33.00995,0.39447,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,NAJJEMBE DIVISION,117203,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,NAJJEMBE DIVISION,NSAKYA,11720307,3994,4012.0,99.6,8006.0,HF0012
Ngogwe HC III,HC III,Government,,Functional,32.9824,0.23683,CENTRAL II,BUIKWE,BUIKWE,NGOGWE,117104,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,NGOGWE,LUBONGO,11710404,2451,2342.0,104.7,4793.0,HF0013
Canan HC II,HC II,NGO,Local Government,,33.16825,0.38947,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,117301,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,NJERU SOUTH WARD,11730103,7826,8184.0,95.6,16010.0,HF0014
Lugazi II HC II,HC II,Government,MOH,Functional,32.936462,0.366407,CENTRAL II,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,117201,LUGAZI MUNICIPALITY,BUIKWE,LUGAZI MUNICIPALITY,CENTRAL DIVISION,NAKAZADDE,11720104,5752,6561.0,87.7,12313.0,HF0015
Bukaya HC II,HC II,Private Not For Profit,,Functional,33.17719,0.43888,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,117301,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,NJERU EAST WARD,11730101,4453,4831.0,92.2,9284.0,HF0016
Njeru T.C HC III,HC III,Government,MOH,Functional,33.15179,0.38359,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,117302,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,NYENGA,11730204,3752,4070.0,92.2,7822.0,HF0017
St. Francis Health Care Services HC III,HC III,Private Not For Profit,UCMB,Functional,33.16327,0.43243,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,117301,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,NJERU NORTH WARD,11730102,2651,2857.0,92.8,5508.0,HF0018
Nkokonjeru  HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,32.92302,0.23599,CENTRAL II,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,117105,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,BUKASA,11710501,1965,2261.0,86.9,4226.0,HF0019
Ebenezer HC II,HC II,NGO,Local Government,,32.92429,0.23888,CENTRAL II,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,117105,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,BUKASA,11710501,1965,2261.0,86.9,4226.0,HF0020
Nkokonjeru Gvt HC II,HC II,Government,MOH,Functional,32.92486,0.24383,CENTRAL II,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,117105,BUIKWE COUNTY SOUTH,BUIKWE,BUIKWE,NKOKONJERU TOWN COUNCIL,BUKASA,11710501,1965,2261.0,86.9,4226.0,HF0021
St. Francis Nyenga HOSPITAL,General Hospital,Private Not For Profit,UCMB,Functional,33.14065,0.39505,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,117302,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,NYENGA,11730204,3752,4070.0,92.2,7822.0,HF0022
Christ The King HC II,HC II,NGO,Local Government,Functional,33.12981,0.40807,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,117302,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,NYENGA,11730204,3752,4070.0,92.2,7822.0,HF0023
Kabizzi  II,HC II,Government,Local Government,Functional,33.1354,0.35965,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,117302,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NYENGA DIVISION,NYENGA,11730204,3752,4070.0,92.2,7822.0,HF0024
Buziika HC II,HC II,Government,MOH,Functional,33.1846,0.39062,CENTRAL II,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,117301,NJERU MUNICIPALITY,BUIKWE,NJERU MUNICIPALITY,NJERU DIVISION,NJERU SOUTH WARD,11730103,7826,8184.0,95.6,16010.0,HF0025
