District,Samples_n,HbAA_n,HbAS_n,HbSS_n,Total_alleles,S_alleles
Bukomansimbi,579,499,76,4,1158,84
Butambala,417,357,55,5,834,65
Gomba,414,357,51,6,828,63
Kalangala,563,485,75,3,1126,81
Kalungu,922,788,130,4,1844,138
Lwengo,773,682,88,3,1546,94
Lyantonde,609,558,51,0,1218,51
Masaka,2298,1985,299,14,4596,327
Mpigi,1043,914,125,4,2086,133
Rakai,2223,1863,353,7,4446,367
Ssembabule,601,546,54,1,1202,56
Wakiso,4314,3758,539,17,8628,573
Buikwe,1665,1372,278,15,3330,308
Buvuma,328,277,47,4,656,55
Kayunga,692,565,118,9,1384,136
Kiboga,719,609,106,4,1438,114
Kyankwanzi,324,275,48,1,648,50
Luweero,1530,1299,213,18,3060,249
Mityana,1226,1051,166,9,2452,184
Mubende,2032,1801,221,10,4064,241
Mukono,1568,1350,209,9,3136,227
Nakaseke,546,464,78,4,1092,86
Nakasongola,505,413,82,10,1010,102
Bugiri,605,475,122,8,1210,138
Buyende,314,254,55,5,628,65
Iganga,932,735,183,14,1864,211
Jinja,1690,1331,330,29,3380,388
Kaliro,280,221,54,5,560,64
Kamuli,655,512,134,9,1310,152
Luuka,259,205,52,2,518,56
Mayuge,796,625,157,14,1592,185
Namayingo,739,578,152,9,1478,170
Namutumba,311,241,68,2,622,72
Kampala,13466,11541,1831,94,26932,2019
Budaka,167,137,29,1,334,31
Bududa,163,150,12,1,326,14
Bukwo,29,25,4,0,58,4
Bulambuli,196,179,16,1,392,18
Busia,522,413,99,10,1044,119
Butaleja,187,151,31,5,374,41
Kapchorwa,157,141,15,1,314,17
Kibuku,197,154,39,4,394,47
Kween,34,32,2,0,68,2
Manafwa,294,260,32,2,588,36
Mbale,1019,872,137,10,2038,157
Pallisa,312,260,51,1,624,53
Sironko,250,224,24,2,500,28
Tororo,1338,1055,262,21,2676,304
Agago,888,728,151,9,1776,169
Alebtong,351,260,84,7,702,98
Amolatar,450,369,77,4,900,85
Amuru,320,260,55,5,640,65
Apac,938,741,180,17,1876,214
Dokolo,382,304,73,5,764,83
Gulu,3014,2384,600,30,6028,660
Kitgum,1046,854,185,7,2092,199
Kole,438,343,87,8,876,103
Lamwo,543,440,101,2,1086,105
Lira,1778,1398,352,28,3556,408
Nwoya,532,421,104,7,1064,118
Otuke,431,336,85,10,862,105
Oyam,982,774,195,13,1964,221
Pader,667,542,117,8,1334,133
Buliisa,152,116,33,3,304,39
Bundibugyo,309,236,67,6,618,79
Hoima,1568,1346,209,13,3136,235
Kabarole,3038,2743,289,6,6076,301
Kamwenge,969,910,58,1,1938,60
Kasese,1215,1087,124,4,2430,132
Kibaale,1604,1424,167,13,3208,193
Kiryandongo,516,438,77,1,1032,79
Kyegegwa,796,719,73,4,1592,81
Kyenjojo,1763,1582,176,5,3526,186
Masindi,803,666,126,11,1606,148
Ntoroko,212,179,33,0,424,33
Abim,180,146,32,2,360,36
Amudat,34,29,5,0,68,5
Amuria,572,464,98,10,1144,118
Bukedea,273,238,35,0,546,35
Kaabong,114,106,8,0,228,8
Kaberamaido,516,426,87,3,1032,93
Katakwi,490,408,80,2,980,84
Kotido,90,78,11,1,180,13
Kumi,361,306,51,4,722,59
Moroto,102,87,15,0,204,15
Nakapiripirit,64,60,4,0,128,4
Napak,116,102,14,0,232,14
Ngora,210,168,41,1,420,43
Serere,451,363,78,10,902,98
Soroti,885,729,143,13,1770,169
Buhweju,142,137,5,0,284,5
Bushenyi,1211,1159,51,1,2422,53
Ibanda,864,813,49,2,1728,53
Isingiro,1157,1092,62,3,2314,68
Kabale,1076,1048,28,0,2152,28
Kanungu,745,716,26,3,1490,32
Kiruhura,916,861,52,3,1832,58
Kisoro,361,345,15,1,722,17
Mbarara,3012,2843,166,3,6024,172
Mitooma,397,387,10,0,794,10
Ntungamo,1315,1261,53,1,2630,55
Rubirizi,360,328,28,4,720,36
Rukungiri,1191,1146,45,0,2382,45
Sheema,902,861,40,1,1804,42
Adjumani,239,201,37,1,478,39
Arua,973,849,122,2,1946,126
Koboko,217,183,34,0,434,34
Maracha-Terego,93,86,7,0,186,7
Moyo,161,140,21,0,322,21
Nebbi,810,659,141,10,1620,161
Yumbe,212,193,19,0,424,19
Zombo,311,276,34,1,622,36
